Longitude,Latitude,Pixel,Scan
225.856061,-89.1983951,6400,200
225.918144,-89.1983623,6500,200
225.980231,-89.1983286,6600,200
226.042322,-89.1982939,6700,200
226.104418,-89.1982582,6800,200
226.166518,-89.1982217,6900,200
226.228621,-89.1981841,7000,200
226.290728,-89.1981457,7100,200
226.352838,-89.1981062,7200,200
226.414952,-89.1980658,7300,200
226.477069,-89.1980245,7400,200
226.539189,-89.1979822,7500,200
226.601312,-89.197939,7600,200
226.663438,-89.1978948,7700,200
226.725566,-89.1978497,7800,200
226.787697,-89.1978036,7900,200
226.84983,-89.1977565,8000,200
226.911965,-89.1977085,8100,200
226.974103,-89.1976596,8200,200
227.036242,-89.1976096,8300,200
227.098383,-89.1975588,8400,200
227.160525,-89.197507,8500,200
227.222669,-89.1974542,8600,200
227.284815,-89.1974005,8700,200
227.346961,-89.1973458,8800,200
227.409109,-89.1972902,8900,200
227.471257,-89.1972336,9000,200
227.533406,-89.197176,9100,200
227.595556,-89.1971175,9200,200
227.657706,-89.197058,9300,200
227.719856,-89.1969976,9400,200
227.782007,-89.1969363,9500,200
227.844157,-89.1968739,9600,200
227.906308,-89.1968106,9700,200
227.968458,-89.1967464,9800,200
228.030607,-89.1966812,9900,200
228.092756,-89.196615,10000,200
228.154905,-89.1965479,10100,200
228.217052,-89.1964798,10200,200
228.279198,-89.1964108,10300,200
228.341343,-89.1963408,10400,200
228.403487,-89.1962699,10500,200
228.46563,-89.1961979,10600,200
228.52777,-89.1961251,10700,200
228.589909,-89.1960512,10800,200
228.652046,-89.1959764,10900,200
228.714182,-89.1959007,11000,200
228.776314,-89.195824,11100,200
228.838445,-89.1957463,11200,200
228.900573,-89.1956677,11300,200
228.962698,-89.1955881,11400,200
229.024821,-89.1955075,11500,200
229.08694,-89.195426,11600,200
229.149057,-89.1953436,11700,200
229.21117,-89.1952601,11800,200
229.27328,-89.1951757,11900,200
229.334766,-89.1950912,11999,200
221.893063,-89.199367,0,300
221.954633,-89.1993942,100,300
222.016216,-89.1994205,200,300
222.077813,-89.1994459,300,300
222.139422,-89.1994703,400,300
222.201045,-89.1994938,500,300
222.26268,-89.1995165,600,300
222.324329,-89.1995381,700,300
222.38599,-89.1995589,800,300
